PlayerId,Position,Height,Weight,CollegeAwards,FG%,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,StartRatio,G,GS,MP,FG,FGA,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,OWS,DWS,WS,WS/40,PER,OBPM,DBPM,BPM,playerId,isAllStar
brook-lopez-1,Forward,213,117,4,0.48,0.532,0.482,0.031,0.384,,,,14.6,9.7,,4.9,12.3,31.4,0.8113207547,53.0,43.0,1485.0,8.7,18.2,8.6,17.6,0.491,0.1,0.6000000000000001,0.14300000000000002,5.3,7.0,0.764,10.2,1.5,0.7000000000000001,2.7,3.0,3.7,22.9,2.9,5.0,7.9,0.213,,,,,brook-lopez-1,1
brook-lopez-1,Forward,213,117,4,0.48,0.532,0.482,0.031,0.384,,,,14.6,9.7,,4.9,12.3,31.4,0.8113207547,53.0,43.0,1485.0,8.7,18.2,8.6,17.6,0.491,0.1,0.6000000000000001,0.14300000000000002,5.3,7.0,0.764,10.2,1.5,0.7000000000000001,2.7,3.0,3.7,22.9,2.9,5.0,7.9,0.213,,,,,brook-lopez-1,0
anthony-bowie-1,Guard,198,86,0,,0.542,,,0.248,,,,,,,,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anthony-bowie-1,0
paul-thompson-1,Guard,198,95,0,,0.517,,,0.28,,,,,,,,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paul-thompson-1,0
alec-burks-1,Guard,198,88,5,0.495,0.592,0.522,0.17500000000000002,0.579,1260.0,8.8,13.7,11.3,17.0,2.1,1.2,12.6,30.0,0.9852941176000001,68.0,67.0,2100.0,8.1,16.3,7.2,13.4,0.533,0.9,2.9,0.313,7.6,9.4,0.804,7.6,3.1,1.4,0.5,3.0,3.1,24.6,9.2,1.6,10.8,0.20600000000000002,27.8,7.3,-0.1,7.2,alec-burks-1,0
terrence-williams-1,Forward,198,99,6,0.4,0.484,0.467,0.422,0.254,,,,11.0,21.4,,1.3,16.9,20.6,0.9071428571000001,140.0,127.0,4510.0,5.1,12.8,3.4,7.4,0.457,1.7000000000000002,5.4,0.32,1.9,3.3,0.589,8.6,4.8,1.9,0.8,2.9,2.4,13.9,1.9,13.5,15.3,0.136,,,,,terrence-williams-1,0
harold-jamison-1,Forward,203,117,2,0.609,0.598,0.609,0.0,0.8,,,,,,,,18.1,,0.3100775194,129.0,40.0,2570.0,7.1,11.6,7.1,11.6,0.609,0.0,0.0,,5.0,9.3,0.541,14.6,1.9,1.6,1.0,2.6,3.9,19.2,8.4,8.8,17.2,0.21,,,,,harold-jamison-1,0
roger-powell-1,Forward,198,106,3,0.5720000000000001,0.617,0.602,0.148,0.41500000000000004,,,,12.2,4.2,,1.1,10.8,21.5,0.6953125,128.0,89.0,2553.0,7.1,12.5,6.4,10.6,0.602,0.7000000000000001,1.8,0.398,3.4,5.2,0.662,8.3,0.8,0.9,0.6000000000000001,1.8,3.9,18.5,8.3,5.5,13.8,0.216,,,,,roger-powell-1,0
luke-kennard-1,Guard,196,81,8,0.461,0.6000000000000001,0.548,0.455,0.34900000000000003,1073.0,4.0,11.5,7.9,12.4,1.7000000000000002,0.8,8.3,22.9,0.6438356164,73.0,47.0,2275.0,6.6,14.4,4.1,7.9,0.526,2.5,6.6,0.383,4.4,5.0,0.867,5.6,2.6,1.1,0.30000000000000004,1.5,2.7,20.2,8.4,2.5,10.9,0.192,22.3,7.2,1.0,8.2,luke-kennard-1,0
ed-davis-1,Forward,208,102,2,0.548,0.5720000000000001,0.548,0.0,0.595,282.0,10.8,24.2,17.9,5.7,0.9,7.8,14.9,19.2,0.4098360656,61.0,25.0,1357.0,6.2,11.3,6.2,11.3,0.548,0.0,0.0,,4.2,6.7,0.623,13.9,1.3,0.7000000000000001,3.8,2.5,3.4,16.6,2.6,4.6,7.2,0.212,,,,,ed-davis-1,0
